// from the 3rd
Date	Time 	Venue	Day	League	Week 1	Home Team		Away Team						
8/9/2025	8.15 pm	Churston Grammar, TQ5 0LN	Monday	Division II	Week 1	Torbay Tigers Too	v	North Devon II						
8/9/2025	7.20 pm	Isca Academy EX2 6AP	Monday	Division II	Week 1	Exeter Raptors	v	Bridgwater Blackhawks II						
9/9/2025	7.15 pm	Tiverton High School, EX16 6SQ	Tuesday	Division II	Week 1	Tiverton Titans II	v	Exmouth Jesters						
9/9/2025	TBC	Isca Academy EX2 6AP	Tuesday	Ladies Division	Week 1	Devon Peelers	v	Taunton Huish Tigers						
11/9/2025	8.15 pm	The Spires College TQ1 3PE	Thursday	Division II	Week 1	Bayside Sharks	v	Spartan Nomads II						
12/9/2025	7.45 pm	Bridgwater & Taunton College, TA6 4PZ	Friday	Division II	Week 1	Bridgwater Buccaneers	v	Bridport Evolution						
14/9/2025	2.15 pm	Beaminster School, DT8 3HB	Sunday	Ladies Division	Week 1	Bridport Evolution  	v	Torbay Tigresses						
16/9/2025	8.20 pm	Marine Academy, PL5 2AF	Tuesday 	Division I	Week 2	UTB Bucks	v	Torbay Tigers						
16/9/2025	8.15 pm	Beaminster School, DT8 3HB	Tuesday	Division II	Week 2	Bridport Evolution  	v	Bridgwater Blackhawks II						
17/9/2025	7.15 pm	Exeter College, Victoria Yard, EX4 3SR	Wednesday 	Division II	Week 2	Spartan Nomads II	v	Tiverton Titans II						
18/9/2025	8.15 pm	The Spires College TQ1 3PE	Thursday	Division II	Week 2	Bayside Sharks	v	Torbay Tigers Too						
18/9/2025	8.15 pm	Exmouth Community College, EX8 3AF	Thursday	Division II	Week 2	Exmouth Jesters	v	Exeter Raptors						
19/9/2025	7.20 pm	Uffcolme School, EX15 3AG	Friday	Division I	Week 2	Tiverton Titans	v	North Devon						
19/9/2025	7.15 pm	Exmouth Community College, EX8 3AF	Friday	Division I	Week 2	Exmouth Knights	v	Spartan Nomads						
22/9/2025	7.20 pm	Isca Academy EX2 6AP	Monday	Division II	Week 3	Exeter Raptors	v	Spartan Nomads II						
25/9/2025	7.15 pm	Bideford College, EX39 3AR	Thursday	Division I	Week 3	North Devon	v	Exmouth Knights						
23/9/2025	8.15 pm	Beaminster School, DT8 3HB	Tuesday	Division II	Week 3	Bridport Evolution  	v	Exmouth Jesters						
23/9/2025	7.15 pm	Tiverton High School, EX16 6SQ	Tuesday	Division II	Week 3	Tiverton Titans II	v	Bayside Sharks						
24/9/2025	7.15 pm	Exeter College, Victoria Yard, EX4 3SR	Wednesday 	Division I	Week 3	Spartan Nomads	v	UTB Bucks						
25/9/2025	8.15 pm	Marine Academy, PL5 2AF	Thursday	Ladies Division	Week 13	UTB Phoenix	v	Devon Peelers						
25/9/2025	8.15 pm	Churston Grammar, TQ5 0LN	Thursday	Division I	Week 3	Torbay Tigers	v	Tiverton Titans						
26/9/2025	7.45 pm	Bridgwater & Taunton College, TA6 4PZ	Friday	Division II	Week 3	Bridgwater Buccaneers	v	North Devon II						


Date	Time 	Venue	Day	League	Week 1	Home Team		Away Team						
30/9/2025	7.15 pm	Tiverton High School, EX16 6SQ	Tuesday	Division II	Week  4	Tiverton Titans II	v	Torbay Tigers Too						
1/10/2025	8.15 pm	Churston Grammar, TQ5 0LN	Wednesday	Ladies Division	Week  4	Torbay Tigresses	v	Taunton Huish Tigers						
1/10/2025	7.15 pm	Exeter College, Victoria Yard, EX4 3SR	Wednesday	Division II	Week  4	Spartan Nomads II	v	Bridport Evolution						
2/10/2025	8.15 pm	The Spires College TQ1 3PE	Thursday	Division II	Week  4	Bayside Sharks	v	Exeter Raptors						
2/10/2025	8.15 pm	Marine Academy, PL5 2AF	Thursday	Ladies Division	Week  4	UTB Phoenix	v	Bridport Evolution						
6/10/2025	8.15 pm	University Sports Centre, EX4 4QN	Monday 	Division I	 Week 5	University of Exeter II	v	University of Exeter I						
